window_start,window_end,behavior_cohort_dimension,behavior_cohort_band,trust_classification,agent_delegation_classification,skill_read_presence_classification,cohort_size,signal_count,attributed_signal_count,attributed_signal_share,agent_delegation_user_count,skill_read_user_count,suppression_status,suppression_reason,readiness_decision
2026-03-23,2026-05-22,depth_repertoire_band,FOCUSED_INTEGRATION,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,135,301,0,0.0,0,0,SURFACE_ELIGIBLE_RESEARCH_ONLY,,HOLD_FOR_EVIDENCE_GAPS
2026-03-23,2026-05-22,depth_repertoire_band,FOCUSED_INTEGRATION,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,,,,,,,SUPPRESS,INSUFFICIENT_VOLUME,HOLD_SMALL_CELL_SUPPRESSED
2026-03-23,2026-05-22,depth_repertoire_band,FOCUSED_INTEGRATION,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_REPEATED,SKILL_READ_ABSENT,,,,,,,SUPPRESS,INSUFFICIENT_VOLUME,HOLD_SMALL_CELL_SUPPRESSED
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,10178,42321,21622,0.510904751778077,0,0,SURFACE_ELIGIBLE_RESEARCH_ONLY,,PROMOTE_FOR_BEHAVIOR_COHORT_REVIEW
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,8691,51422,19976,0.3884718602932597,0,8691,SURFACE_ELIGIBLE_RESEARCH_ONLY,,PROMOTE_FOR_BEHAVIOR_COHORT_REVIEW
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,3117,12656,8072,0.6378002528445006,3117,0,SURFACE_ELIGIBLE_RESEARCH_ONLY,,PROMOTE_FOR_BEHAVIOR_COHORT_REVIEW
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_PRESENT,SKILL_READ_PRESENT,2484,13965,5964,0.4270676691729323,2484,2484,SURFACE_ELIGIBLE_RESEARCH_ONLY,,PROMOTE_FOR_BEHAVIOR_COHORT_REVIEW
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_REPEATED,SKILL_READ_ABSENT,16164,87014,44622,0.5128140299262187,16164,0,SURFACE_ELIGIBLE_RESEARCH_ONLY,,PROMOTE_FOR_BEHAVIOR_COHORT_REVIEW
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_REPEATED,SKILL_READ_PRESENT,12106,108721,36617,0.336797858739342,12106,12106,SURFACE_ELIGIBLE_RESEARCH_ONLY,,PROMOTE_FOR_BEHAVIOR_COHORT_REVIEW
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,311399,0,0,,0,0,SURFACE_ELIGIBLE_RESEARCH_ONLY,,HOLD_FOR_EVIDENCE_GAPS
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,62509,0,0,,0,62509,SURFACE_ELIGIBLE_RESEARCH_ONLY,,CONTINUE_RESEARCH
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,38727,0,0,,38727,0,SURFACE_ELIGIBLE_RESEARCH_ONLY,,HOLD_FOR_EVIDENCE_GAPS
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_PRESENT,SKILL_READ_PRESENT,10402,0,0,,10402,10402,SURFACE_ELIGIBLE_RESEARCH_ONLY,,CONTINUE_RESEARCH
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_REPEATED,SKILL_READ_ABSENT,77732,0,0,,77732,0,SURFACE_ELIGIBLE_RESEARCH_ONLY,,CONTINUE_RESEARCH
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_REPEATED,SKILL_READ_PRESENT,20530,0,0,,20530,20530,SURFACE_ELIGIBLE_RESEARCH_ONLY,,CONTINUE_RESEARCH
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,17645,103994,0,0.0,0,0,SURFACE_ELIGIBLE_RESEARCH_ONLY,,HOLD_FOR_EVIDENCE_GAPS
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,5060,30666,0,0.0,0,5060,SURFACE_ELIGIBLE_RESEARCH_ONLY,,CONTINUE_RESEARCH
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,1525,5126,0,0.0,1525,0,SURFACE_ELIGIBLE_RESEARCH_ONLY,,HOLD_FOR_EVIDENCE_GAPS
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_PRESENT,SKILL_READ_PRESENT,742,3978,0,0.0,742,742,SURFACE_ELIGIBLE_RESEARCH_ONLY,,CONTINUE_RESEARCH
